State,City,Lat,Long,Pop,Time,Growth,Ppt,Temp,Size
OR,Portland,45.5372,-122.65,2074775,20,11820.08806,1103.660034,11.92000008,large
OR,Eugene,44.0563,-123.1173,273439,19,10865.47238,1136.949951,11.35000038,small
OR,Salem,44.9231,-123.0246,266804,18,9688.619937,1008.72998,11.67000008,small
OR,Medford,42.3372,-122.8537,170876,17,8430.234172,508.7399902,12.11999989,small
OR,Bend,44.0562,-121.3087,109802,16,7555.864907,292.5899963,8.119999886,small
OR,Gresham,45.5023,-122.4413,109381,15,6862.45532,1298.109985,11.64000034,small
OR,Hillsboro,45.5272,-122.9361,109128,14,6350.09143,962.6799927,11.76000023,small
OR,Beaverton,45.4779,-122.8168,99037,13,5245.630713,1004.549988,11.76000023,small
OR,Corvallis,44.5697,-123.278,67467,12,4721.078132,1065.410034,11.52000046,small
OR,Springfield,44.0538,-122.981,63230,11,3800.498371,1075.780029,11.39000034,small
OR,Albany,44.6274,-123.0966,62880,10,3738.670855,1055.380005,11.57999992,small
OR,Grants Pass,42.4333,-123.3317,55837,9,2806.641849,780.2600098,12.81999969,small
OR,Tigard,45.4237,-122.7845,55514,8,1941.284565,1020.48999,11.86999989,small
OR,Aloha,45.492,-122.8726,54287,7,1588.651827,997.1199951,11.72000027,small
OR,Roseburg,43.2232,-123.3518,46228,6,1333.523633,847.9099731,12.47999954,small
OR,Klamath Falls,42.2191,-121.7754,43246,5,982.717908,339.6000061,8.029999733,small
OR,McMinnville,45.211,-123.1918,42062,4,641.0854775,1098.680054,11.71000004,small
OR,Lake Oswego,45.413,-122.7003,39822,3,519.2885278,1090.969971,11.89999962,small
OR,Keizer,45.0029,-123.0241,39713,2,362.3419956,1033,11.75,small
OR,Oregon City,45.3415,-122.5927,37339,1,191.04335,1172.569946,11.86999989,small
NV,Las Vegas,36.2333,-115.2654,2104198,20,9657.850063,115.5199966,19.19000053,large
NV,Reno,39.5497,-119.8483,445020,19,8727.729156,283.1099854,10.68999958,small
NV,Henderson,36.0133,-115.038,320189,18,8093.277311,123.9499969,19.95000076,small
NV,North Las Vegas,36.288,-115.0901,251974,17,7596.862164,115.0199966,19.59000015,small
NV,Paradise,36.0807,-115.1369,235087,16,7124.600061,112.0800018,19.96999931,small
NV,Spring Valley,36.0987,-115.2619,207127,15,5721.104488,130.2700043,19.14999962,small
NV,Sunrise Manor,36.1785,-115.049,193781,14,4361.080727,115.5999985,20.31999969,small
NV,Enterprise,36.0164,-115.2208,171108,13,3580.991249,132.9700012,19.19000053,small
NV,Sparks,39.5729,-119.7157,105006,12,3090.441219,216.1799927,11.07999992,small
NV,Carson City,39.1512,-119.7474,58756,11,2788.754625,216.7700043,10.28999996,small
NV,Whitney,36.1005,-115.038,42973,10,2440.99637,122.2900009,20.61000061,small
NV,Pahrump,36.2411,-116.0176,37298,9,2361.448815,124.0299988,17.55999947,small
NV,Winchester,36.1368,-115.1299,28231,8,1619.965785,116.0800018,20.02000046,small
NV,Summerlin South,36.1242,-115.3324,27908,7,1312.13904,148.2799988,18.52000046,small
NV,Fernley,39.5611,-119.1926,21476,6,1111.388849,141.8999939,11.25,small
NV,Elko,40.8387,-115.7674,21179,5,895.5275951,251.3000031,7.75,small
NV,Sun Valley,39.6106,-119.7765,21159,4,693.8854179,245.4100037,10.86999989,small
NV,Mesquite,36.8035,-114.1325,19726,3,518.0681765,157.3000031,19.53000069,small
NV,Fallon,39.4738,-118.778,16313,2,336.6309908,120.7900009,11.59000015,small
NV,Boulder City,35.8407,-114.9257,16207,1,217.2358,125.0699997,20.45000076,small
WA,Seattle,47.6211,-122.3244,3789215,20,15777.28536,938.5300293,11.19999981,large
WA,Spokane,47.6671,-117.433,412275,19,15509.69736,380.0400085,9.199999809,small
WA,Kennewick,46.1978,-119.1732,240735,18,14282.05063,204.4199982,11.85000038,small
WA,Bremerton,47.5436,-122.7122,218400,17,12207.97271,1394.75,10.31000042,small
WA,Tacoma,47.2431,-122.4531,217827,16,9114.07418,1008.650024,10.77000046,small
WA,Olympia,47.0417,-122.8959,200915,15,7930.024437,1204.619995,10.69999981,small
WA,Vancouver,45.6366,-122.5967,184463,14,6966.435688,1086.599976,11.47999954,small
WA,Marysville,48.0809,-122.1561,170009,13,6241.693022,1045.400024,10.47999954,small
WA,Bellevue,47.5951,-122.1535,148164,12,5175.35017,1042.420044,10.96000004,small
WA,Yakima,46.5923,-120.5496,133191,11,4227.480732,223.8000031,10.17000008,small
WA,Kent,47.3887,-122.2129,132319,10,3406.97824,1007.580017,11.19999981,small
WA,Bellingham,48.7543,-122.4687,130641,9,2480.193741,953.7700195,10.39999962,small
WA,Everett,47.9525,-122.1669,111475,8,1893.30453,928.5599976,11.15999985,small
WA,Renton,47.4784,-122.1919,101751,7,1525.275238,972.7800293,11.35000038,small
WA,Spokane Valley,47.6626,-117.2346,101060,6,1342.344313,420.4700012,9.029999733,small
WA,Federal Way,47.3091,-122.3358,96289,5,1148.173033,1036.550049,10.82999992,small
WA,Kirkland,47.6974,-122.2054,93010,4,812.162901,960.6199951,11.56000042,small
WA,Auburn,47.3039,-122.2108,81464,3,680.1765898,1005.880005,11.35999966,small
WA,Pasco,46.2506,-119.1304,75432,2,459.9051511,199.6000061,12.06000042,small
WA,Wenatchee,47.4356,-120.3283,72350,1,335.54925,225.6900024,11.10999966,small
CA,Los Angeles,34.1139,-118.4068,12750807,20,13027.92658,511.6300049,18.86000061,large
CA,San Francisco,37.7562,-122.443,3592294,19,11323.99201,664.3099976,14.05000019,large
CA,San Diego,32.8312,-117.1225,3220118,18,9611.86426,289.8999939,17.31999969,large
CA,Riverside,33.9381,-117.3948,2107852,17,9007.242152,251.8600006,18.52000046,large
CA,Sacramento,38.5667,-121.4683,1898019,16,7940.270293,501.2099915,16.51000023,large
CA,San Jose,37.3019,-121.8486,1798103,15,6674.259091,403.2099915,15.65999985,large
CA,Fresno,36.7831,-119.7941,703498,14,6412.819671,300.2600098,17.55999947,small
CA,Concord,37.9722,-122.0016,652308,13,5533.393917,445.8099976,15.67000008,small
CA,Mission Viejo,33.6095,-117.655,590249,12,4393.954855,366.4200134,17.95000076,small
CA,Bakersfield,35.3529,-119.0359,579295,11,4267.629819,166.5200043,17.95000076,small
CA,Murrieta,33.572,-117.1909,496046,10,3863.021533,376.1700134,18.39999962,small
CA,Long Beach,33.7981,-118.1675,462628,9,3627.35708,332.1000061,17.97999954,small
CA,Oakland,37.7903,-122.2165,433031,8,3046.277737,594.8800049,14.68999958,small
CA,Indio,33.7346,-116.2346,417059,7,2911.815211,75.80000305,23.27000046,small
CA,Stockton,37.9765,-121.3109,397264,6,2409.906951,406.3999939,16.39999962,small
CA,Oxnard,34.1963,-119.1815,387647,5,2310.225396,390.5299988,16.03000069,small
CA,Modesto,37.6374,-121.0028,383134,4,1988.852383,335.4100037,16.75,small
CA,Anaheim,33.839,-117.8572,350365,3,1826.705242,334.6499939,18.39999962,small
CA,Victorville,34.5277,-117.3536,346789,2,1693.405839,169.8099976,16.53000069,small
CA,Lancaster,34.6935,-118.1753,343304,1,1595.4905,185.5099945,16.47999954,small
AZ,Phoenix,33.5722,-112.0891,4219697,20,9751.024005,230.1600037,22.52000046,large
AZ,Tucson,32.1545,-110.8782,888486,19,9261.842556,279.4899902,20.46999931,small
AZ,Mesa,33.4017,-111.718,518012,18,8458.253771,251.7700043,22.20999908,small
AZ,Chandler,33.2826,-111.8516,261165,17,8019.669622,215.6100006,22.20999908,small
AZ,Scottsdale,33.6872,-111.8651,258069,16,7218.445009,319.0100098,21.37999916,small
AZ,Gilbert,33.3101,-111.7463,254114,15,6967.54592,227.5700073,22.09000015,small
AZ,Glendale,33.5791,-112.2311,252381,14,5732.639498,223.3800049,22.45000076,small
AZ,Avondale,33.3858,-112.3236,227289,13,4934.724541,201.8000031,22.15999985,small
AZ,Tempe,33.3881,-111.9318,195805,12,4593.834337,228.4199982,22.55999947,small
AZ,Peoria,33.7844,-112.2989,175961,11,4148.949849,283.2799988,21.62999916,small
AZ,Yuma,32.5992,-114.5488,142847,10,3577.267616,85.29000092,23.27000046,small
AZ,Surprise,33.68,-112.4524,141664,9,3258.661565,225.1000061,21.69000053,small
AZ,Prescott Valley,34.5983,-112.3176,101539,8,2652.346702,369.9100037,13.07999992,small
AZ,San Tan Valley,33.1879,-111.5472,96692,7,2254.555529,247.3300018,21.96999931,small
AZ,Goodyear,33.2613,-112.3622,86840,6,1956.343616,216.4700012,22.30999947,small
AZ,Flagstaff,35.1872,-111.6195,81974,5,1479.071234,522.1400146,8.659999847,small
AZ,Buckeye,33.4314,-112.6429,79620,4,1176.002652,205.7799988,22.26000023,small
AZ,Casas Adobes,32.3423,-111.0114,70166,3,722.4486513,296.6300049,20.79000092,small
AZ,Casa Grande,32.9068,-111.7624,61966,2,511.0704264,214.9799957,21.55999947,small
AZ,Lake Havasu City,34.5006,-114.3113,56820,1,408.55535,140.1300049,22.79999924,small