Pop,Lat,Long,State,Elevation
AH,39.600807,-117.159999,NV,1754
AR,37.17384,-112.61817,UT,1870
AS,39.473104,-117.049449,NV,2408
BC,38.27982,-112.56807,UT,1887
BH,45.08907,-117.84837,OR,1007
BL,43.94395,-121.02769,OR,1104
BM,39.26398,-117.7243,NV,2245
BO,39.14467,-111.75611,UT,1631
BT,39.02786,-111.74611,UT,1711
BV,43.0529,-118.8715,OR,1277
CC,42.23095,-122.08695,OR,1265
CH,38.07189,-119.07318,CA,1971
CI,37.11173,-113.56686,UT,888
CL,43.70761,-118.51556,OR,1372
CN,41.94453,-118.67245,OR,1257
CO,37.81108,-118.5214,CA,1694
CS,37.04314,-112.19856,UT,1647
CT,37.89452,-118.85651,CA,2443
CV,37.76715,-113.16933,UT,1758
DC,43.075863,-118.748551,OR,1295
DH,39.211,-119.60815,NV,1423
DM,39.73112,-111.15585,UT,2352
DT,43.43917,-118.7375,OR,1240
EW,38.348308,-119.212272,CA,2043
FR,38.570527,-118.081634,NV,2129
GB,42.9989,-119.954,OR,1587
GO,35.50509,-108.82932,NM,1977
HL,39.99726,-111.31432,UT,1987
HO,41.855409,-118.577409,NV,1423
HW,34.32487,-117.42191,CA,1125
IH,42.93847,-115.0745,ID,936
IO,46.47515,-116.76927,ID,242
IT,43.85619,-116.22017,ID,1120
JC,40.85155,-119.56711,NV,1443
JO,36.9954,-111.5949,UT,1249
JT,35.90452,-111.54766,AZ,1504
LA,35.20589,-106.49663,NM,1906
LO,35.03251,-110.6452,AZ,1487
LR,42.10784,-119.74091,OR,1467
LT,34.99441,-107.30143,NM,815
LV,39.625991,-120.010468,CA,1668
MC,45.9991,-110.833,MT,1660
MD,41.41059,-120.54402,CA,1333
MR,45.99906,-110.83305,MT,1663
NH,38.02388,-117.86911,NV,1440
NI,35.95807,-111.76713,AZ,1935
NN,41.07343,-115.29237,NV,1633
NO,39.22624,-114.90315,NV,2035
NT,38.1679,-116.43906,NV,1910
NV,40.59495,-116.17294,NV,1476
OO,38.57794,-112.33389,UT,1789
OT,38.71723,-112.3746,UT,1914
PB,43.93003,-121.10583,OR,1200
PL,39.6065,-119.8993,NV,1724
PT,39.5048,-119.9022,NV,1421
PW,38.5949,-118.11525,NV,1859
RH,45.72944,-119.04667,OR,318
RL,43.52944,-119.29861,OR,1390
RO,44.14689,-117.10694,OR,881
RS,37.51538,-113.2111,UT,1628
RT,45.3445,-118.22667,OR,883
SC,39.38344,-117.62386,NV,1990
SH,41.32371,-117.70572,NV,1487
SJ,40.237306,-109.08544,UT,1727
SL,35.21852,-111.64226,AZ,2140
SS,40.73664,-120.31685,CA,1647
TO,37.28252,-113.30629,UT,1159
TU,37.22645,-113.37766,UT,1004
UN,37.11617,-111.97725,UT,1447
UO,39.08505,-113.50959,UT,1438
UT,39.07335,-113.71999,UT,1671
VI,34.59045,-117.25938,CA,869
VM,39.91538,-119.90043,NV,1503
WA,43.82544,-117.64056,OR,762
YL,43.53928,-119.43722,OR,1307